id;nome;codigo;preco;segmento;data_preco;;não tem na API da UOL
;Ambev S.A. ;ABEV3;;Consumo não-cíclico;;;
;Alianza Trust Renda Imobiliaria;ALZR11;;Fundo Investimento Imobiliario ;;;
;Arezzo Indústria e Comércio S.A. ;ARZZ3;;;;;
;Azul S.A. ;AZUL4;;Bens Industriais;;;
;Banco do Brasil S.A. ;BBAS3;;Financeiro;;;
;Banco Bradesco S.A. ;BBDC3;;Financeiro;;;
;Banco Bradesco S.A. ;BBDC4;;Financeiro;;;
;BB Seguridade Participações S.A. ;BBSE3;;Seguros;;;
;Banco Inter S.A. ;BIDI3;;Financeiro;;;
;Banco Inter S.A. ;BIDI4;;Financeiro;;;
;Bradespar S.A. ;BRAP3;;Mineração;;;
;Bradespar S.A. ;BRAP4;;Mineração;;;
;B3 S.A. ;B3SA3;;Financeiro;;;
;Petrobras Distribuidora S.A. ;BRDT3;;Petróleo, Gás e Biocombustíveis;;;
;BRF S.A. ;BRFS3;;Alimentos processados;;;
;Braskem S.A. ;BRKM5;;Químicos;;;
;B2W DIGITAL;BTOW3;;Comércio;;;
;BR Malls Participações S.A. ;BRML3;;;;;
;Banco do Estado do Rio Grande do Sul S.A. ;BRSR6;;Financeiro;;;
;CCR S.A. ;CCRO3;;Bens industriais;;;
;Cielo S.A. ;CIEL3;;Financeiro;;;
;Companhia Energética de Minas Gerais ;CMIG3;;Energia elétrica;;;
;Companhia Energética de Minas Gerais ;CMIG4;;Energia elétrica;;;
;Cogna Educação S.A. ;COGN3;;;;;
;Companhia Paranaense de Energia ;CPLE3;;Energia elétrica;;;
;Companhia Paranaense de Energia ;CPLE6;;Energia elétrica;;;
;CPFL Energia S.A. ;CPFE3;;Energia elétrica;;;
;Cosan S.A. ;CSAN3;;Petróleo, Gás e Biocombustíveis;;;
;Companhia Siderúrgica Nacional ;CSNA3;;Siderurgia e Metalurgia;;;
;CVC Brasil Operadora e Agência de Viagens S.A. ;CVCB3;;Viagens e lazer;;;
;Cyrela Brazil Realty S.A. Empreendimentos e Participações ;CYRE3;;Construção civil;;;
;EcoRodovias Infraestrutura e Logística S.A. ;ECOR3;;Bens industriais;;;
;Engie Brasil Energia S.A. ;EGIE3;;Energia elétrica;;;
;Eletrobras Centrais Elétricas Brasileiras S.A. ;ELET3;;Energia elétrica;;;
;Eletrobras Centrais Elétricas Brasileiras S.A. ;ELET6;;Energia Elétrica;;;
;Embraer S.A. ;EMBR3;;Bens industriais;;;
; Energias do Brasil S.A. ;ENBR3;;Energia elétrica;;;
;Equatorial Energia S.A. ;EQTL3;;Energia elétrica;;;
;FII Brasil Plural Absoluto Fundo de Fundos ;PBFF11;;Fundo de Investimento Imobiliario ;;;
;Fleury S.A. ;FLRY3;;Saúde;;;
;CSHG Logistica ;HGLG11;;Fundo De Investimento Imobiliario ;;;
;Gerdau S.A. ;GGBR3;;Siderurgia e Metalurgia;;;
;Gerdau S.A. ;GGBR4;;Siderurgia e Metalurgia;;;
;Metalurgica Gerdau S.A. ;GOAU4;;Siderurgia e Metalurgia;;;
;Gol Linhas Aéreas Inteligentes S.A. ;GOLL4;;Bens industriais;;;
;Helbor Empreendimentos S.A. ;HBOR3;;;;;
;HEDGE Brasil Shopping;HGBS11;;Fundo de Investimento Imobiliario ;;;
;Cia. Hering ;HGTX3;;;;;
;FD Invest Imob Hotel Maxinvest ;HTMX11;;Fundo de Investimento Imobiliario ;;;
;Hypera S.A. ;HYPE3;;Saúde;;;
