id ,nome                                                         ,codigo ,preco ,segmento                          ,data_preco            ,;
   ,Ambev S.A.                                                   ,ABEV3  ,      ,Consumo n�o-c�clico               ,                      ,
   ,Alianza Trust Renda Imobiliaria                              ,ALZR11 ,      ,Fundo Investimento Imobiliario    ,                      ,
   ,Arezzo Ind�stria e Com�rcio S.A.                             ,ARZZ3  ,      ,                                  ,                      ,
   ,Azul S.A.                                                    ,AZUL4  ,      ,Bens Industriais                  ,                      ,
   ,Banco do Brasil S.A.                                         ,BBAS3  ,      ,Financeiro                        ,                      ,
   ,Banco Bradesco S.A.                                          ,BBDC3  ,      ,Financeiro                        ,                      ,
   ,Banco Bradesco S.A.                                          ,BBDC4  ,      ,Financeiro                        ,                      ,
   ,BB Seguridade Participa��es S.A.                             ,BBSE3  ,      ,Seguros                           ,                      ,
   ,Banco Inter S.A.                                             ,BIDI3  ,      ,Financeiro                        ,                      ,
   ,Banco Inter S.A.                                             ,BIDI4  ,      ,Financeiro                        ,                      ,
   ,Bradespar S.A.                                               ,BRAP3  ,      ,Minera��o                         ,                      ,
   ,Bradespar S.A.                                               ,BRAP4  ,      ,Minera��o                         ,                      ,
   ,B3 S.A.                                                      ,B3SA3  ,      ,Financeiro                        ,                      ,
   ,Petrobras Distribuidora S.A.                                 ,BRDT3  ,      ,Petr�leo                          ,G�s e Biocombust�veis ,  ,
   ,BRF S.A.                                                     ,BRFS3  ,      ,Alimentos processados             ,                      ,
   ,Braskem S.A.                                                 ,BRKM5  ,      ,Qu�micos                          ,                      ,
   ,B2W DIGITAL                                                  ,BTOW3  ,      ,Com�rcio                          ,                      ,
   ,BR Malls Participa��es S.A.                                  ,BRML3  ,      ,                                  ,                      ,
   ,Banco do Estado do Rio Grande do Sul S.A.                    ,BRSR6  ,      ,Financeiro                        ,                      ,
   ,CCR S.A.                                                     ,CCRO3  ,      ,Bens industriais                  ,                      ,
   ,Cielo S.A.                                                   ,CIEL3  ,      ,Financeiro                        ,                      ,
   ,Companhia Energ�tica de Minas Gerais                         ,CMIG3  ,      ,Energia el�trica                  ,                      ,
